+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,Pos,REB,STL,TO,date,game_id,starter,team
+23,1-2,1,5,8,6-11,4-7,40,J.  Smith,2,3,17,PF,10,4,0,"October 29, 2008",281029019,1,Hawks
+5,0-0,4,1,5,3-7,4-6,29,A.  Horford,4,5,10,PF,9,1,2,"October 29, 2008",281029019,1,Hawks
+23,0-6,4,0,3,4-15,4-5,34,M.  Bibby,0,2,12,PG,3,2,3,"October 29, 2008",281029019,1,Hawks
+11,2-5,2,0,4,11-20,1-2,35,J.  Johnson,3,3,25,SG,7,1,4,"October 29, 2008",281029019,1,Hawks
+5,2-5,1,0,5,3-11,0-0,42,M.  Evans,3,1,8,SG,8,1,4,"October 29, 2008",281029019,1,Hawks
--,-----,--,--,--,-----,-----,--,M.  Williams,--,--,--,PF,--,--,--,"October 29, 2008",281029019,0,Hawks
-5,0-0,0,0,1,0-0,1-2,7,S.  Jones,0,1,1,PF,1,0,0,"October 29, 2008",281029019,0,Hawks
-1,0-0,0,0,0,0-0,0-0,0,O.  Hunter,0,0,0,SF,0,0,0,"October 29, 2008",281029019,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,R.  Morris,0,0,0,C,0,0,0,"October 29, 2008",281029019,0,Hawks
+14,0-0,1,0,2,4-7,0-2,12,Z.  Pachulia,6,5,8,C,8,0,0,"October 29, 2008",281029019,0,Hawks
-1,0-0,0,0,0,0-0,0-0,0,S.  Claxton,0,0,0,PG,0,0,0,"October 29, 2008",281029019,0,Hawks
-5,0-1,2,0,4,2-5,0-0,16,A.  Law,0,1,4,PG,4,0,0,"October 29, 2008",281029019,0,Hawks
-1,0-0,0,0,0,0-0,0-0,0,T.  Gardner,0,0,0,SG,0,0,0,"October 29, 2008",281029019,0,Hawks
+8,0-0,0,1,0,0-0,0-0,3,M.  West,0,0,0,SG,0,0,0,"October 29, 2008",281029019,0,Hawks
-9,0-1,2,0,3,5-10,4-7,23,R.  Murray,0,2,14,SG,3,1,1,"October 29, 2008",281029019,0,Hawks
-1,1-5,1,1,2,5-12,0-0,29,R.  Lewis,3,6,11,PF,5,2,2,"October 29, 2008",281029019,1,Magic
-16,1-5,1,0,6,5-17,2-2,39,H.  Turkoglu,2,2,13,SF,8,2,2,"October 29, 2008",281029019,1,Magic
+3,2-7,1,1,1,7-16,4-4,35,M.  Pietrus,2,2,20,SF,3,0,1,"October 29, 2008",281029019,1,Magic
-6,0-0,1,5,8,8-15,6-13,40,D.  Howard,7,5,22,C,15,5,4,"October 29, 2008",281029019,1,Magic
-9,0-4,2,0,5,4-12,0-0,32,J.  Nelson,0,3,8,PG,5,0,3,"October 29, 2008",281029019,1,Magic
+0,0-0,0,0,0,0-0,0-0,0,B.  Cook,0,0,0,PF,0,0,0,"October 29, 2008",281029019,0,Magic
-6,0-0,0,3,1,0-1,0-0,6,M.  Gortat,1,3,0,C,2,0,0,"October 29, 2008",281029019,0,Magic
-16,0-0,0,1,1,0-2,1-4,10,T.  Battie,1,1,1,C,2,0,0,"October 29, 2008",281029019,0,Magic
-1,0-0,0,0,0,0-0,0-0,0,A.  Foyle,0,0,0,C,0,0,0,"October 29, 2008",281029019,0,Magic
-1,0-0,0,0,0,0-0,0-0,0,M.  Wilks,0,0,0,PG,0,0,0,"October 29, 2008",281029019,0,Magic
-5,0-0,3,0,1,2-6,2-2,16,A.  Johnson,0,1,6,PG,1,0,2,"October 29, 2008",281029019,0,Magic
-18,0-3,0,0,1,0-4,2-2,19,J.  Redick,0,3,2,SG,1,0,1,"October 29, 2008",281029019,0,Magic
-1,0-0,0,0,0,0-0,0-0,0,J.  Richardson,0,0,0,SG,0,0,0,"October 29, 2008",281029019,0,Magic
+0,0-0,0,0,0,0-0,0-0,0,C.  Lee,0,0,0,SG,0,0,0,"October 29, 2008",281029019,0,Magic
+4,0-1,1,0,2,1-2,0-0,13,K.  Bogans,1,2,2,SG,3,0,0,"October 29, 2008",281029019,0,Magic
-10,0-0,3,0,9,6-14,5-6,45,E.  Brand,7,3,17,PF,16,1,4,"November 1, 2008",281101001,1,76ers
-2,4-6,1,0,4,9-15,0-0,37,T.  Young,1,1,22,PF,5,0,0,"November 1, 2008",281101001,1,76ers
-3,2-6,4,1,4,6-13,2-2,44,A.  Iguodala,0,2,16,SF,4,3,6,"November 1, 2008",281101001,1,76ers
-8,0-0,0,1,8,5-11,2-2,34,S.  Dalembert,3,4,12,C,11,0,4,"November 1, 2008",281101001,1,76ers
-14,0-0,8,0,2,5-18,1-1,35,A.  Miller,0,4,11,PG,2,0,1,"November 1, 2008",281101001,1,76ers
+0,0-0,0,0,0,0-0,0-0,0,M.  Speights,0,0,0,PF,0,0,0,"November 1, 2008",281101001,0,76ers
-1,0-0,0,0,0,0-0,0-0,0,J.  Smith,0,0,0,PF,0,0,0,"November 1, 2008",281101001,0,76ers
-1,0-0,0,0,0,0-0,0-0,0,D.  Marshall,0,0,0,PF,0,0,0,"November 1, 2008",281101001,0,76ers
+6,0-0,0,0,5,1-4,2-2,17,R.  Evans,3,0,4,C,8,1,2,"November 1, 2008",281101001,0,76ers
+0,0-0,0,0,0,0-0,0-0,0,T.  Ratliff,0,0,0,C,0,0,0,"November 1, 2008",281101001,0,76ers
+0,0-0,0,0,0,0-0,0-0,0,R.  Ivey,0,0,0,PG,0,0,0,"November 1, 2008",281101001,0,76ers
+5,0-2,2,0,1,1-6,0-0,13,L.  Williams,1,1,2,SG,2,1,1,"November 1, 2008",281101001,0,76ers
+0,0-0,0,0,0,0-0,0-0,0,K.  Rush,0,0,0,SG,0,0,0,"November 1, 2008",281101001,0,76ers
-9,0-2,3,0,0,2-4,0-1,16,W.  Green,0,1,4,SG,0,0,0,"November 1, 2008",281101001,0,76ers
+10,2-4,3,2,7,6-16,0-0,40,J.  Smith,4,1,14,PF,11,3,5,"November 1, 2008",281101001,1,Hawks
+4,0-2,1,2,5,1-7,0-0,20,M.  Williams,0,0,2,PF,5,0,0,"November 1, 2008",281101001,1,Hawks
+5,0-0,4,1,6,4-7,1-2,35,A.  Horford,1,3,9,PF,7,0,0,"November 1, 2008",281101001,1,Hawks
+16,3-7,4,0,2,7-16,2-2,35,M.  Bibby,0,1,19,PG,2,3,2,"November 1, 2008",281101001,1,Hawks
+11,2-5,5,0,3,14-23,5-5,41,J.  Johnson,0,0,35,SG,3,1,2,"November 1, 2008",281101001,1,Hawks
+0,0-0,0,0,0,0-0,0-0,0,S.  Jones,0,0,0,PF,0,0,0,"November 1, 2008",281101001,0,Hawks
-1,0-0,0,0,0,0-0,0-0,0,O.  Hunter,0,0,0,SF,0,0,0,"November 1, 2008",281101001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,R.  Morris,0,0,0,C,0,0,0,"November 1, 2008",281101001,0,Hawks
-1,0-0,2,0,1,2-6,1-2,21,Z.  Pachulia,7,2,5,C,8,2,0,"November 1, 2008",281101001,0,Hawks
-1,0-0,0,0,0,0-0,0-0,0,S.  Claxton,0,0,0,PG,0,0,0,"November 1, 2008",281101001,0,Hawks
-9,0-2,1,0,1,1-3,0-0,13,A.  Law,0,1,2,PG,1,0,0,"November 1, 2008",281101001,0,Hawks
-1,0-0,0,0,0,0-0,0-0,0,T.  Gardner,0,0,0,SG,0,0,0,"November 1, 2008",281101001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,M.  West,0,0,0,SG,0,0,0,"November 1, 2008",281101001,0,Hawks
-9,1-3,0,0,0,2-5,0-0,17,M.  Evans,1,2,5,SG,1,1,0,"November 1, 2008",281101001,0,Hawks
+8,0-2,1,0,2,2-8,0-0,19,R.  Murray,1,3,4,SG,3,1,0,"November 1, 2008",281101001,0,Hawks
+13,1-5,1,3,7,5-14,0-0,40,J.  Smith,4,4,11,PF,11,2,4,"November 5, 2008",281105003,1,Hawks
+6,3-3,0,0,7,4-6,0-0,32,M.  Williams,0,1,11,PF,7,1,2,"November 5, 2008",281105003,1,Hawks
+2,0-0,4,1,7,4-7,2-4,33,A.  Horford,1,2,10,PF,8,1,1,"November 5, 2008",281105003,1,Hawks
-5,1-4,4,0,2,3-10,1-1,27,M.  Bibby,1,2,8,PG,3,1,1,"November 5, 2008",281105003,1,Hawks
+4,2-6,4,0,4,10-21,2-2,36,J.  Johnson,3,4,24,SG,7,0,3,"November 5, 2008",281105003,1,Hawks
+0,0-0,0,0,0,0-0,0-0,0,S.  Jones,0,0,0,PF,0,0,0,"November 5, 2008",281105003,0,Hawks
-1,0-0,0,0,0,0-0,0-0,0,O.  Hunter,0,0,0,SF,0,0,0,"November 5, 2008",281105003,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,R.  Morris,0,0,0,C,0,0,0,"November 5, 2008",281105003,0,Hawks
