+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,REB,STL,TO,date,game_id,starter,team,Position
-7,0-0,3,3,9,6-15,0-0,31,A.  Horford,4,2,12,13,1,1,"October 29, 2014",400578300,1,Hawks,PF
-14,0-2,5,0,5,4-13,5-9,32,P.  Millsap,5,3,13,10,1,4,"October 29, 2014",400578300,1,Hawks,PF
-4,2-3,0,0,2,4-7,0-0,32,D.  Carroll,1,4,10,3,0,0,"October 29, 2014",400578300,1,Hawks,SF
+0,1-1,8,0,3,8-12,3-4,32,J.  Teague,0,2,20,3,3,6,"October 29, 2014",400578300,1,Hawks,PG
+6,6-7,2,3,2,7-10,0-0,33,K.  Korver,0,1,20,2,0,2,"October 29, 2014",400578300,1,Hawks,SG
+0,0-0,0,0,1,1-1,0-2,12,E.  Brand,0,1,2,1,0,1,"October 29, 2014",400578300,0,Hawks,PF
+7,4-6,1,0,4,8-11,0-0,21,M.  Scott,0,5,20,4,0,1,"October 29, 2014",400578300,0,Hawks,PF
-5,0-1,2,1,2,0-3,0-0,17,T.  Sefolosha,0,1,0,2,0,1,"October 29, 2014",400578300,0,Hawks,SF
-6,0-0,0,0,1,0-0,1-2,4,D.  Schroder,0,3,1,1,0,0,"October 29, 2014",400578300,0,Hawks,PG
-6,0-0,0,1,1,1-2,0-0,11,K.  Bazemore,0,1,2,1,1,0,"October 29, 2014",400578300,0,Hawks,SG
-6,0-2,5,0,2,1-6,0-0,15,S.  Mack,0,1,2,2,0,1,"October 29, 2014",400578300,0,Hawks,G
,,,,,,,DNP-COACH'S DECISION,M.  Muscala,,,,,,,"October 29, 2014",400578300,0,Hawks,PF
,,,,,,,DNP-COACH'S DECISION,P.  Antic,,,,,,,"October 29, 2014",400578300,0,Hawks,PF
+1,0-0,2,4,5,7-15,2-2,31,A.  Johnson,5,2,16,10,0,0,"October 29, 2014",400578300,1,Raptors,C
+3,0-0,0,1,5,4-5,9-10,21,J.  Valanciunas,3,3,17,8,0,1,"October 29, 2014",400578300,1,Raptors,C
-3,0-3,10,1,3,3-11,5-7,34,K.  Lowry,3,3,11,6,3,0,"October 29, 2014",400578300,1,Raptors,PG
+4,0-1,3,0,8,4-16,7-10,35,D.  DeRozan,3,3,15,11,6,5,"October 29, 2014",400578300,1,Raptors,SG
-1,3-5,3,1,3,5-11,0-0,28,T.  Ross,0,2,13,3,1,0,"October 29, 2014",400578300,1,Raptors,SG
-1,0-0,0,1,1,2-2,1-1,20,T.  Hansbrough,1,3,5,2,0,0,"October 29, 2014",400578300,0,Raptors,PF
+2,0-0,2,1,0,0-2,2-2,14,J.  Johnson,0,0,2,0,2,2,"October 29, 2014",400578300,0,Raptors,PF
+11,2-7,2,0,5,4-9,0-0,24,P.  Patterson,0,1,10,5,1,0,"October 29, 2014",400578300,0,Raptors,PF
+13,2-6,3,0,2,5-11,0-0,17,G.  Vasquez,0,4,12,2,0,0,"October 29, 2014",400578300,0,Raptors,PG
+6,1-4,1,0,0,3-8,1-1,15,L.  Williams,1,1,8,1,0,1,"October 29, 2014",400578300,0,Raptors,SG
,,,,,,,DNP-COACH'S DECISION,C.  Hayes,,,,,,,"October 29, 2014",400578300,0,Raptors,PF
,,,,,,,DNP-COACH'S DECISION,L.  Nogueira,,,,,,,"October 29, 2014",400578300,0,Raptors,C
,,,,,,,DNP-COACH'S DECISION,L.  Fields,,,,,,,"October 29, 2014",400578300,0,Raptors,SG
-11,0-0,0,0,6,5-9,2-3,26,L.  Scola,4,4,12,10,1,3,"November 1, 2014",400578324,1,Pacers,PF
-15,2-7,2,0,1,3-13,2-2,22,C.  Miles,0,3,10,1,0,3,"November 1, 2014",400578324,1,Pacers,SF
-2,2-5,6,0,3,3-8,2-2,34,S.  Hill,2,1,10,5,1,2,"November 1, 2014",400578324,1,Pacers,SF
-3,0-0,2,3,11,4-8,6-6,35,R.  Hibbert,1,2,14,12,0,1,"November 1, 2014",400578324,1,Pacers,C
-5,2-6,7,0,3,4-14,4-4,38,D.  Sloan,0,5,14,3,1,2,"November 1, 2014",400578324,1,Pacers,PG
+4,0-0,3,1,4,3-7,0-0,21,L.  Allen,2,5,6,6,0,2,"November 1, 2014",400578324,0,Pacers,PF
+2,6-11,4,1,4,7-16,1-3,34,C.  Copeland,2,3,21,6,0,4,"November 1, 2014",400578324,0,Pacers,SF
-5,0-2,1,0,0,0-2,0-0,11,D.  Rudez,0,2,0,0,1,0,"November 1, 2014",400578324,0,Pacers,SF
-7,0-0,0,0,1,2-2,1-1,13,I.  Mahinmi,0,0,5,1,0,0,"November 1, 2014",400578324,0,Pacers,C
-8,0-1,0,0,0,0-2,0-0,6,R.  Stuckey,0,1,0,0,1,1,"November 1, 2014",400578324,0,Pacers,PG
,,,,,,,DNP-COACH'S DECISION,S.  Whittington,,,,,,,"November 1, 2014",400578324,0,Pacers,PF
,,,,,,,DNP-RIGHT ANKLE SPRAIN,D.  West,,,,,,,"November 1, 2014",400578324,0,Pacers,PF
,,,,,,,DNP-BRUISED RIGHT FOOT,C.J. ,,,,,,,"November 1, 2014",400578324,0,Pacers,PG
+12,0-1,2,2,3,9-14,2-2,28,A.  Horford,1,2,20,4,0,3,"November 1, 2014",400578324,1,Hawks,PF
+4,1-3,2,1,3,5-9,2-4,34,P.  Millsap,0,4,13,3,2,2,"November 1, 2014",400578324,1,Hawks,PF
+2,0-2,2,0,9,4-9,3-4,34,D.  Carroll,0,1,11,9,2,1,"November 1, 2014",400578324,1,Hawks,SF
+0,1-2,6,2,4,7-14,10-10,33,J.  Teague,0,1,25,4,3,1,"November 1, 2014",400578324,1,Hawks,PG
+1,2-3,4,0,3,3-5,1-2,32,K.  Korver,0,4,9,3,1,1,"November 1, 2014",400578324,1,Hawks,SG
+6,1-1,1,0,2,1-1,2-4,14,M.  Scott,1,1,5,3,1,1,"November 1, 2014",400578324,0,Hawks,PF
-2,1-3,2,0,1,2-4,2-3,20,P.  Antic,0,3,7,1,0,1,"November 1, 2014",400578324,0,Hawks,PF
+8,0-1,1,1,5,1-5,1-2,14,T.  Sefolosha,0,3,3,5,1,0,"November 1, 2014",400578324,0,Hawks,SF
+9,1-1,2,0,3,1-3,0-0,16,K.  Bazemore,1,1,3,4,0,2,"November 1, 2014",400578324,0,Hawks,SG
+10,0-3,4,0,1,2-5,2-2,15,S.  Mack,0,0,6,1,0,0,"November 1, 2014",400578324,0,Hawks,G
,,,,,,,DNP-COACH'S DECISION,E.  Brand,,,,,,,"November 1, 2014",400578324,0,Hawks,PF
,,,,,,,DNP-COACH'S DECISION,M.  Muscala,,,,,,,"November 1, 2014",400578324,0,Hawks,PF
,,,,,,,DNP-COACH'S DECISION,D.  Schroder,,,,,,,"November 1, 2014",400578324,0,Hawks,PG
-4,0-0,6,1,3,5-14,0-0,31,A.  Horford,4,5,10,7,2,2,"November 5, 2014",400578356,1,Hawks,PF
-5,0-2,3,2,5,8-18,1-1,35,P.  Millsap,2,4,17,7,5,1,"November 5, 2014",400578356,1,Hawks,PF
-10,3-5,1,0,3,7-13,0-0,31,D.  Carroll,2,2,17,5,1,2,"November 5, 2014",400578356,1,Hawks,SF
-1,0-0,7,0,0,2-8,1-2,34,J.  Teague,0,2,5,0,1,5,"November 5, 2014",400578356,1,Hawks,PG
+6,1-5,3,0,4,3-10,0-0,36,K.  Korver,0,5,7,4,2,1,"November 5, 2014",400578356,1,Hawks,SG
+2,2-4,1,0,4,5-7,0-0,14,M.  Scott,0,1,12,4,0,1,"November 5, 2014",400578356,0,Hawks,PF
+3,1-3,0,0,3,3-7,0-0,16,P.  Antic,0,2,7,3,0,0,"November 5, 2014",400578356,0,Hawks,PF
+5,0-1,2,2,3,0-1,4-4,17,T.  Sefolosha,1,1,4,4,2,0,"November 5, 2014",400578356,0,Hawks,SF
+4,1-3,1,0,1,4-6,0-0,8,D.  Schroder,1,1,9,2,0,0,"November 5, 2014",400578356,0,Hawks,PG
-6,0-1,1,0,1,1-5,0-2,11,K.  Bazemore,0,2,2,1,0,0,"November 5, 2014",400578356,0,Hawks,SG
-4,0-1,1,0,0,0-3,2-2,6,S.  Mack,0,0,2,0,1,1,"November 5, 2014",400578356,0,Hawks,G
,,,,,,,DNP-COACH'S DECISION,E.  Brand,,,,,,,"November 5, 2014",400578356,0,Hawks,PF
,,,,,,,DNP-COACH'S DECISION,M.  Muscala,,,,,,,"November 5, 2014",400578356,0,Hawks,PF
-2,1-4,2,0,6,5-10,0-0,30,K.  Leonard,0,1,11,6,1,2,"November 5, 2014",400578356,1,Spurs,SF
+5,0-0,4,6,8,5-12,7-12,35,T.  Duncan,5,2,17,13,3,0,"November 5, 2014",400578356,1,Spurs,C
+4,0-0,2,0,4,2-2,1-2,10,T.  Splitter,0,0,5,4,1,1,"November 5, 2014",400578356,1,Spurs,C
+2,0-1,7,0,3,7-12,3-5,37,T.  Parker,0,3,17,3,0,7,"November 5, 2014",400578356,1,Spurs,PG
-1,2-5,2,1,6,3-7,2-2,33,D.  Green,1,1,10,7,1,2,"November 5, 2014",400578356,1,Spurs,SG
-3,0-0,1,1,3,0-1,0-0,13,J.  Ayres,2,2,0,5,0,1,"November 5, 2014",400578356,0,Spurs,F
-9,0-1,0,0,0,0-1,0-0,3,A.  Daye,0,0,0,0,0,1,"November 5, 2014",400578356,0,Spurs,SF
+0,0-0,0,0,0,0-0,0-0,1,A.  Baynes,0,0,0,0,0,1,"November 5, 2014",400578356,0,Spurs,C
+7,0-3,4,1,4,4-10,3-5,34,B.  Diaw,1,1,11,5,0,1,"November 5, 2014",400578356,0,Spurs,C
-2,1-2,0,0,0,3-6,3-3,14,C.  Joseph,2,1,10,2,0,1,"November 5, 2014",400578356,0,Spurs,PG
